ENTRY_AC	ENTRY_TYPE	ENTRY_NAME	GO_ID	NAME	 
IPR009944	F	Amastin surface glycoprotein	GO:0001948	glycoprotein binding	 
IPR014414	F	"Envelope glycoprotein precursor/M polyprotein precursor, Tospovirus type"	GO:0001948	glycoprotein binding	 
IPR010278	F	"Varicellovirus Gp2, glycoprotein"	GO:0001948	glycoprotein binding	 
IPR008155	F	Amyloidogenic glycoprotein	GO:0001948	glycoprotein binding	 
IPR007288	F	"Influenzavirus B, glycoprotein NB"	GO:0001948	glycoprotein binding	 
IPR005211	F	Herpesvirus glycoprotein N	GO:0001948	glycoprotein binding	 
IPR003493	F	Herpesvirus glycoprotein H	GO:0001948	glycoprotein binding	 
IPR002874	F	Alphaherpesvirus glycoprotein I	GO:0001948	glycoprotein binding	 
IPR000458	F	Mucin-like glycoprotein	GO:0001948	glycoprotein binding	 
IPR003428	F	Mitochondrial glycoprotein	GO:0001948	glycoprotein binding	 
IPR003412	F	Arterivirus glycoprotein	GO:0001948	glycoprotein binding	 
IPR003404	F	Alphaherpesvirus glycoprotein E	GO:0001948	glycoprotein binding	 
IPR002000	F	Lysosome-associated membrane glycoprotein	GO:0001948	glycoprotein binding	 
IPR003330	F	Major surface glycoprotein MSG	GO:0001948	glycoprotein binding	 
IPR001913	F	Equine arteritis virus small envelope glycoprotein	GO:0001948	glycoprotein binding	 
IPR001903	F	Rhabdovirus spike glycoprotein	GO:0001948	glycoprotein binding	 
IPR000776	F	"Precursor fusion glycoprotein F0, Paramyxoviridae"	GO:0001948	glycoprotein binding	 
IPR004257	F	"Equine arteritis virus (EAV), glycoprotein 4"	GO:0001948	glycoprotein binding	 
IPR001535	F	Arenavirus glycoprotein	GO:0001948	glycoprotein binding	 
IPR001500	F	Alpha-1-acid glycoprotein	GO:0001948	glycoprotein binding	 
IPR000925	F	"Attachment glycoprotein G, pneumovirus"	GO:0001948	glycoprotein binding	 
IPR000936	F	Alphavirus E2 glycoprotein	GO:0001948	glycoprotein binding	 
IPR001654	F	Marek's disease glycoprotein A	GO:0001948	glycoprotein binding	 
IPR006790	F	"Baculovirus Gp41, glycoprotein"	GO:0001948	glycoprotein binding	 
IPR002689	F	Cytomegalovirus glycoprotein L	GO:0001948	glycoprotein binding	 
IPR002417	F	Viral spike glycoprotein	GO:0001948	glycoprotein binding	 
IPR004955	F	"Baculovirus Gp64, envelope glycoprotein"	GO:0001948	glycoprotein binding	 
IPR007796	F	Herpesvirus major outer envelope glycoprotein	GO:0001948	glycoprotein binding	 
IPR002597	F	Herpesvirus major envelope glycoprotein	GO:0001948	glycoprotein binding	 
IPR002574	F	Coronavirus M matrix/glycoprotein	GO:0001948	glycoprotein binding	 
IPR002567	F	Cell fusion glycoprotein K	GO:0001948	glycoprotein binding	 
IPR000213	F	Vitamin D-binding protein	GO:0001948	glycoprotein binding	 
IPR004913	F	Herpesvirus glycoprotein J	GO:0001948	glycoprotein binding	 
IPR001038	F	Glycoprotein C/ glycoprotein A	GO:0001948	glycoprotein binding	 
IPR001187	F	Tissue factor	GO:0001948	glycoprotein binding	 
IPR001332	F	"GL envelope glycoprotein, arterivirus"	GO:0001948	glycoprotein binding	 
IPR003566	F	T-cell surface glycoprotein CD5	GO:0001948	glycoprotein binding	 
IPR000469	F	"G-protein alpha subunit, group 12"	GO:0001965	G-protein alpha-subunit binding	 
IPR000367	F	"G-protein alpha subunit, group S"	GO:0001965	G-protein alpha-subunit binding	 
IPR025208	F	NFkB-p65-degrading zinc protease	GO:0002020	protease binding	 
IPR016765	F	"Metal-dependent membrane protease, PF1846 type, predicted"	GO:0002020	protease binding	 
IPR017052	F	"Peptidase S1A, corin"	GO:0002020	protease binding	 
IPR017051	F	"Peptidase S1A, matripase"	GO:0002020	protease binding	 
IPR023317	F	"Peptidase S1A, plasmin"	GO:0002020	protease binding	 
IPR015643	F	"Peptidase C1A, cathepsin B"	GO:0002020	protease binding	 
IPR022919	F	"Peptidase M48, protease HtpX, putative"	GO:0002020	protease binding	 
IPR017326	F	"Peptidase S1A, polyserase-2"	GO:0002020	protease binding	 
IPR017314	F	"Peptidase S8A, subtilisin-like peptidase 1, plasmodium"	GO:0002020	protease binding	 
IPR017297	F	"Peptidase S8A, DPH-A"	GO:0002020	protease binding	 
IPR019400	F	"Peptidase C65, otubain"	GO:0002020	protease binding	 
IPR022483	F	"Peptidase T1A, proteasome beta-subunit, actinobacteria"	GO:0002020	protease binding	 
IPR016515	F	"Uncharacterised conserved protein UCP007407, Abi protease-like"	GO:0002020	protease binding	 
IPR023332	F	Proteasome A-type subunit	GO:0002020	protease binding	 
IPR022281	F	"ATP-dependent protease, HslV subunit"	GO:0002020	protease binding	 
IPR013703	D	"Peptidase S49, N-terminal proteobacteria"	GO:0002020	protease binding	 
IPR014124	F	"Peptidase S26A, superoxide dismutase maturation protease, nickel-type"	GO:0002020	protease binding	 
IPR012393	F	Peptidase S41A/B	GO:0002020	protease binding	 
IPR024175	F	"Peptidase S1A, complement C1r/C1S/mannan-binding"	GO:0002020	protease binding	 
IPR008764	F	"Peptidase U57, YabG"	GO:0002020	protease binding	 
IPR008754	D	"Peptidase M43, pregnancy-associated plasma-A"	GO:0002020	protease binding	 
IPR009669	F	"Cysteine protease, VirA/EspG"	GO:0002020	protease binding	 
IPR014827	D	Papain-like viral protease	GO:0002020	protease binding	 
IPR014251	F	Sporulation protease LonB	GO:0002020	protease binding	 
IPR023562	F	Clp protease proteolytic subunit /Translocation-enhancing protein TepA	GO:0002020	protease binding	 
IPR006155	F	Machado-Joseph disease protein MJD	GO:0002020	protease binding	 
IPR005082	F	"Peptidase U9, T4 prohead protease"	GO:0002020	protease binding	 
IPR005080	F	"Peptidase A25, germination protease"	GO:0002020	protease binding	 
IPR015837	F	"Uncharacterised conserved protein UCP026622, CAAX protease-type"	GO:0002020	protease binding	 
IPR015471	F	Caspase-7	GO:0002020	protease binding	 
IPR015470	F	Caspase-3	GO:0002020	protease binding	 
IPR015469	F	Caspase-6	GO:0002020	protease binding	 
IPR011546	D	"Peptidase M41, FtsH extracellular"	GO:0002020	protease binding	 
IPR015420	D	"Peptidase S1A, nudel"	GO:0002020	protease binding	 
IPR001461	F	Peptidase A1	GO:0002020	protease binding	 
IPR004815	F	"Peptidase S16, ATP-dependent protease La"	GO:0002020	protease binding	 
IPR006286	F	"Peptidase C56, PfpI"	GO:0002020	protease binding	 
IPR001940	F	Peptidase S1C	GO:0002020	protease binding	 
IPR001984	F	"Peptidase S16, Lon protease"	GO:0002020	protease binding	 
IPR002610	F	"Peptidase S54, rhomboid"	GO:0002020	protease binding	 
IPR004487	F	"Clp protease, ATP-binding subunit ClpX"	GO:0002020	protease binding	 
IPR003653	F	"Peptidase C48, SUMO/Sentrin/Ubl1"	GO:0002020	protease binding	 
IPR023662	F	Rhomboid protease GlpG	GO:0002020	protease binding	 
IPR002117	F	p53 tumour suppressor family	GO:0002039	p53 binding	 
IPR017402	F	Proteorhodopsin	GO:0002046	opsin binding	 
IPR001425	F	"Rhodopsin, archaeal/bacterial/fungal"	GO:0002046	opsin binding	 
IPR007981	F	"Peptidase A5, thermopsin"	GO:0002046	opsin binding	 
IPR000732	F	Rhodopsin	GO:0002046	opsin binding	 
IPR002962	F	Peropsin	GO:0002046	opsin binding	 
IPR010711	F	"Phospholipase A2, group XII secretory"	GO:0004623	phospholipase A2 activity	 
IPR001211	F	Phospholipase A2	GO:0004623	phospholipase A2 activity	 
IPR017767	F	"Phospholipase C, phosphocholine-specific"	GO:0004629	phospholipase C activity	 
IPR016244	F	"Tyrosine-protein kinase, HGF/MSP receptor"	GO:0005102	receptor binding	 
IPR017241	F	Toll-like receptor	GO:0005102	receptor binding	 
IPR012493	F	Renin receptor-like	GO:0005102	receptor binding	 
IPR015771	F	"Anti-muellerian hormone receptor, type II"	GO:0005102	receptor binding	 
IPR024111	F	Peroxisomal targeting signal 1 receptor family	GO:0005102	receptor binding	 
IPR014648	F	Neuropilin	GO:0005102	receptor binding	 
IPR003047	F	P2X4 purinoceptor	GO:0005102	receptor binding	 
IPR003053	F	"GPCR, family 2, corticotropin releasing factor receptor, type 2"	GO:0005102	receptor binding	 
IPR003051	F	"GPCR, family 2, corticotropin releasing factor receptor"	GO:0005102	receptor binding	 
IPR001429	F	P2X purinoreceptor	GO:0005102	receptor binding	 
IPR003505	F	"Glial cell line-derived neurotrophic factor receptor, alpha 3"	GO:0005102	receptor binding	 
IPR001491	F	Thrombomodulin	GO:0005102	receptor binding	 
IPR000493	F	"Inositol 1,4,5-trisphosphate-binding protein receptor"	GO:0005102	receptor binding	 
IPR003438	F	Glial cell line-derived neurotrophic factor receptor	GO:0005102	receptor binding	 
IPR004075	F	"Interleukin-1 receptor, type I/Toll precursor"	GO:0005102	receptor binding	 
IPR001170	F	Natriuretic peptide receptor	GO:0005102	receptor binding	 
IPR003050	F	P2X7 purinoceptor	GO:0005102	receptor binding	 
IPR005429	F	Lysosome membrane protein II	GO:0005102	receptor binding	 
IPR022362	F	Neurogenic locus Notch 1	GO:0005112	Notch binding	 
IPR022355	F	Neurogenic locus Notch 4	GO:0005112	Notch binding	 
IPR022336	F	Neurogenic locus Notch 2	GO:0005112	Notch binding	 
IPR022331	F	Neurogenic locus Notch 3	GO:0005112	Notch binding	 
IPR008297	F	Notch	GO:0005112	Notch binding	 
IPR003392	F	Patched	GO:0005113	patched binding	 
IPR008063	F	Fas receptor	GO:0005123	death receptor binding	 
IPR017229	F	Multidomain scavenger receptor-like protein PxSR	GO:0005124	scavenger receptor binding	 
IPR001802	F	Mercury scavenger protein	GO:0005124	scavenger receptor binding	 
IPR015486	F	Interleukin-2 receptor alpha chain	GO:0005134	interleukin-2 receptor binding	 
IPR017278	F	"Toll-interleukin I receptor domain-containing adaptor protein, Ticam"	GO:0005149	interleukin-1 receptor binding	 
IPR004077	F	"Interleukin-1 receptor, type II"	GO:0005151	"interleukin-1, Type II receptor binding"	 
IPR001355	F	CXC chemokine receptor type 1	GO:0005153	interleukin-8 receptor binding	 
IPR000174	F	CXC chemokine receptor	GO:0005153	interleukin-8 receptor binding	 
IPR000057	F	CXC chemokine receptor type 2	GO:0005153	interleukin-8 receptor binding	 
IPR016246	F	"Tyrosine-protein kinase, insulin-like receptor"	GO:0005158	insulin receptor binding	 
IPR022248	F	"TNF receptor family, RELT"	GO:0005164	tumor necrosis factor receptor binding	 
IPR020435	F	Tumour necrosis factor receptor 5	GO:0005164	tumor necrosis factor receptor binding	 
IPR020419	F	Tumour necrosis factor receptor 1A	GO:0005164	tumor necrosis factor receptor binding	 
IPR020416	F	Tumour necrosis factor receptor 8	GO:0005164	tumor necrosis factor receptor binding	 
IPR020445	F	Tumour necrosis factor receptor 4	GO:0005164	tumor necrosis factor receptor binding	 
IPR020413	F	Tumour necrosis factor receptor 9	GO:0005164	tumor necrosis factor receptor binding	 
IPR020411	F	Tumour necrosis factor receptor 1B	GO:0005164	tumor necrosis factor receptor binding	 
IPR020465	F	Tumour necrosis factor receptor 10	GO:0005164	tumor necrosis factor receptor binding	 
IPR017371	F	Tumour necrosis factor receptor 11B	GO:0005164	tumor necrosis factor receptor binding	 
IPR017349	F	Tumour necrosis factor receptor 3	GO:0005164	tumor necrosis factor receptor binding	 
IPR022361	F	Tumour necrosis factor receptor 11A	GO:0005164	tumor necrosis factor receptor binding	 
IPR022342	F	Tumour necrosis factor receptor 19	GO:0005164	tumor necrosis factor receptor binding	 
IPR022338	F	Tumour necrosis factor receptor 13C	GO:0005164	tumor necrosis factor receptor binding	 
IPR022333	F	Tumour necrosis factor receptor 19-like	GO:0005164	tumor necrosis factor receptor binding	 
IPR022332	F	Tumour necrosis factor receptor 14	GO:0005164	tumor necrosis factor receptor binding	 
IPR022330	F	Tumour necrosis factor receptor 21	GO:0005164	tumor necrosis factor receptor binding	 
IPR022329	F	Tumour necrosis factor receptor 25	GO:0005164	tumor necrosis factor receptor binding	 
IPR022328	F	Tumour necrosis factor receptor 7	GO:0005164	tumor necrosis factor receptor binding	 
IPR022325	F	Tumour necrosis factor receptor 16	GO:0005164	tumor necrosis factor receptor binding	 
IPR022323	F	Tumour necrosis factor receptor 11	GO:0005164	tumor necrosis factor receptor binding	 
IPR022320	F	Tumour necrosis factor receptor 17	GO:0005164	tumor necrosis factor receptor binding	 
IPR022319	F	Tumour necrosis factor receptor 27	GO:0005164	tumor necrosis factor receptor binding	 
IPR022318	F	Tumour necrosis factor receptor 18	GO:0005164	tumor necrosis factor receptor binding	 
IPR022317	F	Tumour necrosis factor receptor 13B	GO:0005164	tumor necrosis factor receptor binding	 
IPR022316	F	Tumour necrosis factor receptor 12	GO:0005164	tumor necrosis factor receptor binding	 
IPR011172	F	"Poxvirus, TNF-alpha receptor-II"	GO:0005164	tumor necrosis factor receptor binding	 
IPR012896	D	"Integrin beta subunit, tail"	GO:0005178	integrin binding	 
IPR015812	F	Integrin beta subunit	GO:0005178	integrin binding	 
IPR014836	D	"Integrin beta subunit, cytoplasmic domain"	GO:0005178	integrin binding	 
IPR012013	F	Integrin beta-4 subunit	GO:0005178	integrin binding	 
IPR015442	F	Integrin beta-8 subunit	GO:0005178	integrin binding	 
IPR015439	F	Integrin beta-2 subunit	GO:0005178	integrin binding	 
IPR015437	F	Integrin beta-7 subunit	GO:0005178	integrin binding	 
IPR015436	F	Integrin beta-6 subunit	GO:0005178	integrin binding	 
IPR000413	F	Integrin alpha chain	GO:0005178	integrin binding	 
IPR000227	F	Angiotensinogen	GO:0005179	hormone activity	 
IPR000346	F	Crustacean neurohormone CHH	GO:0005184	neuropeptide hormone activity	 
IPR023601	F	"Golgi SNAP receptor complex, subunit 1"	GO:0005484	SNAP receptor activity	 
IPR015503	F	Cortactin	GO:0005519	cytoskeletal regulatory protein binding	 
IPR022321	F	"Insulin-like growth factor-binding protein family 1-6, chordata"	GO:0005520	insulin-like growth factor binding	 
IPR012213	F	Insulin-like growth factor binding protein 5	GO:0005520	insulin-like growth factor binding	 
IPR012210	F	Insulin-like growth factor binding protein 2	GO:0005520	insulin-like growth factor binding	 
IPR009168	F	Insulin-like growth factor binding protein	GO:0005520	insulin-like growth factor binding	 
IPR016814	F	"Profilin, apicomplexa"	GO:0005522	profilin binding	 
IPR005455	F	Profilin	GO:0005522	profilin binding	 
IPR005454	F	"Profilin, chordates"	GO:0005522	profilin binding	 
IPR000533	F	Tropomyosin	GO:0005523	tropomyosin binding	 
IPR013284	F	Beta-catenin	GO:0008013	beta-catenin binding	 
IPR024703	F	"Fascin, metazoans"	GO:0008092	cytoskeletal protein binding	 
IPR010431	F	Fascin	GO:0008092	cytoskeletal protein binding	 
IPR004000	F	Actin-related protein	GO:0008092	cytoskeletal protein binding	 
IPR016378	F	"Transcription factor, cyclic AMP-dependent"	GO:0008134	transcription factor binding	 
IPR016743	F	"Transcription factor, basic leucine zipper, E4BP4"	GO:0008134	transcription factor binding	 
IPR022106	F	Paired box protein 7	GO:0008134	transcription factor binding	 
IPR017114	F	Transcription factor yin/yang	GO:0008134	transcription factor binding	 
IPR016362	F	"Transcription factor, homeobox/POU"	GO:0008134	transcription factor binding	 
IPR016659	F	Transcription factor II-I	GO:0008134	transcription factor binding	 
IPR016637	F	"Transcription factor, basic helix-loop-helix, NeuroD"	GO:0008134	transcription factor binding	 
IPR024102	F	"Basic helix-loop-helix leucine zipper transcription factor, plant"	GO:0008134	transcription factor binding	 
IPR024097	F	Basic helix-loop-helix leucine zipper transcription factor	GO:0008134	transcription factor binding	 
IPR016591	F	Suppressor of fused protein	GO:0008134	transcription factor binding	 
IPR016586	F	Mitochondrial transcription factor mtTFB	GO:0008134	transcription factor binding	 
IPR016556	F	"Transcription factor DP, subgroup"	GO:0008134	transcription factor binding	 
IPR016554	F	Runt-related transcription factor RUNX	GO:0008134	transcription factor binding	 
IPR015648	F	Transcription factor DP	GO:0008134	transcription factor binding	 
IPR017253	F	Transcription factor Sry	GO:0008134	transcription factor binding	 
IPR016468	F	CCAAT/enhancer-binding	GO:0008134	transcription factor binding	 
IPR008851	F	"Transcription initiation factor IIF, alpha subunit"	GO:0008134	transcription factor binding	 
IPR024103	F	"Basic helix-loop-helix leucine zipper transcription factor, arthropoda/nematoda, putative"	GO:0008134	transcription factor binding	 
IPR012052	F	Sporulation transcription factor Spo0A	GO:0008134	transcription factor binding	 
IPR011660	F	Rv0623-like transcription factor	GO:0008134	transcription factor binding	 
IPR007532	F	"Poxvirus early transcription factor, large subunit"	GO:0008134	transcription factor binding	 
IPR012617	D	"Apoptosis-antagonizing transcription factor, C-terminal"	GO:0008134	transcription factor binding	 
IPR014178	F	Fatty acid response transcription factor FadR	GO:0008134	transcription factor binding	 
IPR004855	F	"Transcription factor IIA, alpha/beta subunit"	GO:0008134	transcription factor binding	 
IPR003957	F	"Transcription factor, CBFA/NFYB, DNA topoisomerase"	GO:0008134	transcription factor binding	 
IPR007031	F	"Poxvirus VLTF3, late transcription factor"	GO:0008134	transcription factor binding	 
IPR000812	F	Transcription factor TFIIB	GO:0008134	transcription factor binding	 
IPR000647	F	CTF transcription factor/nuclear factor 1	GO:0008134	transcription factor binding	 
IPR003523	F	Transcription factor COE	GO:0008134	transcription factor binding	 
IPR006957	F	Ethylene insensitive 3	GO:0008134	transcription factor binding	 
IPR007309	F	B-block binding subunit of TFIIIC	GO:0008134	transcription factor binding	 
IPR003902	F	"Transcription regulator, GCM-like"	GO:0008134	transcription factor binding	 
IPR000972	F	Octamer-binding transcription factor	GO:0008134	transcription factor binding	 
IPR003194	F	"Transcription initiation factor IIA, gamma subunit"	GO:0008134	transcription factor binding	 
IPR000040	F	Acute myeloid leukemia 1 protein (AML1)/Runt	GO:0008134	transcription factor binding	 
IPR001289	F	"CCAAT-binding transcription factor, subunit B"	GO:0008134	transcription factor binding	 
IPR001217	F	"STAT transcription factor, core"	GO:0008134	transcription factor binding	 
IPR009398	F	Adenylate cyclase-like	GO:0008179	adenylate cyclase binding	 
IPR002041	F	Ran GTPase	GO:0008536	Ran GTPase binding	 
IPR009219	F	"Bacteriophytochrome, CheY-like"	GO:0010313	phytochrome binding	 
IPR024789	F	Anaphase-promoting complex subunit 4	GO:0010997	anaphase-promoting complex binding	 
IPR017169	F	"Anaphase-promoting complex subunit 4, metazoa"	GO:0010997	anaphase-promoting complex binding	 
IPR002454	F	Gamma tubulin	GO:0015631	tubulin binding	 
IPR002453	F	Beta tubulin	GO:0015631	tubulin binding	 
IPR002967	F	Delta tubulin	GO:0015631	tubulin binding	 
IPR002452	F	Alpha tubulin	GO:0015631	tubulin binding	 
IPR000217	F	Tubulin	GO:0015631	tubulin binding	 
IPR004058	F	Zeta tubulin	GO:0015631	tubulin binding	 
IPR004057	F	Epsilon tubulin	GO:0015631	tubulin binding	 
IPR015650	F	Myosin class 1/2/3/4/7/8/13/15	GO:0017022	myosin binding	 
IPR001166	F	Crustacean neurohormone	GO:0017046	peptide hormone binding	 
IPR003578	F	"Small GTPase superfamily, Rho type"	GO:0017048	Rho GTPase binding	 
IPR015709	F	Syntaxin-1	GO:0017075	syntaxin-1 binding	 
IPR000388	F	Sulphonylurea receptor	GO:0017098	sulfonylurea receptor binding	 
IPR000844	F	"Sulphonylurea receptor, type 1"	GO:0017098	sulfonylurea receptor binding	 
IPR017338	F	"Fibroblast growth factor, 15/19/21"	GO:0017134	fibroblast growth factor binding	 
IPR003579	F	"Small GTPase superfamily, Rab type"	GO:0017137	Rab GTPase binding	 
IPR009142	F	Wnt-4 protein	GO:0017147	Wnt-protein binding	 
IPR009141	F	Wnt-3 protein	GO:0017147	Wnt-protein binding	 
IPR013301	F	Wnt-8 protein	GO:0017147	Wnt-protein binding	 
IPR005817	F	Wnt	GO:0017147	Wnt-protein binding	 
IPR015615	F	Transforming growth factor-beta-related	GO:0019838	growth factor binding	 
IPR022140	F	Kinesin protein 1B	GO:0019894	kinesin binding	 
IPR002151	F	Kinesin light chain	GO:0019894	kinesin binding	 
IPR024371	F	Acetyl-coenzyme A transporter 1	GO:0019899	enzyme binding	 
IPR017155	F	"Histone-lysine N-methyltransferase, SET"	GO:0019899	enzyme binding	 
IPR016431	F	"Pyruvate-formate lyase-activating enzyme, predicted"	GO:0019899	enzyme binding	 
IPR020868	F	Bifunctional enzyme fae/hps	GO:0019899	enzyme binding	 
IPR017146	F	"Lantibiotic modifying enzyme, RumM"	GO:0019899	enzyme binding	 
IPR022025	F	Putative amidoligase enzyme	GO:0019899	enzyme binding	 
IPR017075	F	"mRNA capping enzyme, alpha subunit"	GO:0019899	enzyme binding	 
IPR017074	F	"mRNA capping enzyme, bifunctional"	GO:0019899	enzyme binding	 
IPR020831	F	Glyceraldehyde/Erythrose phosphate dehydrogenase family	GO:0019899	enzyme binding	 
IPR018075	F	"Ubiquitin-activating enzyme, E1"	GO:0019899	enzyme binding	 
IPR017758	F	Coenzyme A disulphide reductase	GO:0019899	enzyme binding	 
IPR023912	F	"Glycyl radical enzyme activase, YjjW, bact"	GO:0019899	enzyme binding	 
IPR017390	F	"Ubiquitinyl hydrolase, UCH37 type"	GO:0019899	enzyme binding	 
IPR017720	F	Coenzyme F390 synthetase	GO:0019899	enzyme binding	 
IPR017716	F	S-adenosylmethionine decarboxylase proenzyme	GO:0019899	enzyme binding	 
IPR017682	F	"Coenzyme F420 hydrogenase, subunit alpha"	GO:0019899	enzyme binding	 
IPR017681	F	"Coenzyme F420 hydrogenase, subunit gamma"	GO:0019899	enzyme binding	 
IPR017679	F	"Coenzyme F420 hydrogenase, subunit beta"	GO:0019899	enzyme binding	 
IPR017370	F	"Hatching enzyme, Uvs2"	GO:0019899	enzyme binding	 
IPR017361	F	Bifunctional phosphatidylinositol trisphosphate phosphatase/dual specificity phosphatase PTEN	GO:0019899	enzyme binding	 
IPR019437	F	"Telomerase holoenzyme, Est3 subunit"	GO:0019899	enzyme binding	 
IPR022844	F	"Glycogen debranching enzyme, bacterial"	GO:0019899	enzyme binding	 
IPR022828	F	"Thiazole biosynthetic enzyme, putative"	GO:0019899	enzyme binding	 
IPR016212	F	"Methyl coenzyme M reductase, alpha subunit"	GO:0019899	enzyme binding	 
IPR016905	F	"Glycyl radical enzyme, HI0521, predicted"	GO:0019899	enzyme binding	 
IPR023536	F	"Coenzyme A disulphide reductase, staphyolococci"	GO:0019899	enzyme binding	 
IPR023533	F	Ribosomal S6 modification enzyme RimK	GO:0019899	enzyme binding	 
IPR023667	F	"NAD-dependent malic enzyme, proteobacteria"	GO:0019899	enzyme binding	 
IPR020973	F	Packaging enzyme P4	GO:0019899	enzyme binding	 
IPR024012	F	"DNA phosphorothioation system restriction enzyme, putative"	GO:0019899	enzyme binding	 
IPR019967	F	"F420-dependent enzyme, PPOX class, family Rv0121, probable"	GO:0019899	enzyme binding	 
IPR019966	F	"F420-dependent enzyme, PPOX class, family Rv3369, probable"	GO:0019899	enzyme binding	 
IPR019965	F	"PPOX class F420-dependent enzyme, family Rv2061, putative"	GO:0019899	enzyme binding	 
IPR023209	F	D-amino-acid oxidase	GO:0019899	enzyme binding	 
IPR023208	F	NADPH-cytochrome P450 reductase	GO:0019899	enzyme binding	 
IPR016779	F	"Radical SAM enzyme, MSMEG0568"	GO:0019899	enzyme binding	 
IPR022885	F	NAD(P)H-quinone oxidoreductase subunit D/H	GO:0019899	enzyme binding	 
IPR011381	F	Histone H3-K9 methyltransferase	GO:0019899	enzyme binding	 
IPR008594	F	Scavenger mRNA decapping enzyme DcpS/DCS2	GO:0019899	enzyme binding	 
IPR011870	F	Lysine biosynthesis enzyme LysX	GO:0019899	enzyme binding	 
IPR011844	F	"Peptidase M16A, coenzyme PQQ biosynthesis protein PqqF"	GO:0019899	enzyme binding	 
IPR011837	F	Glycogen debranching enzyme	GO:0019899	enzyme binding	 
IPR011833	F	Glycogen/starch/alpha-glucan phosphorylase	GO:0019899	enzyme binding	 
IPR024204	F	"Cytochrome P450, cholesterol 7-alpha-monooxygenase-type"	GO:0019899	enzyme binding	 
IPR015902	F	"Glycoside hydrolase, family 13"	GO:0019899	enzyme binding	 
